CustomerID,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,CustomerID
77893100,49,M,2,High School,Single,$120K +,42,3,2,4,21143.98867981303,1190,19954.00740368541,0.4952590892747249,4895,66,0.7781599049027232,0.06434096745382258,77890485
77906340,42,F,4,Graduate,Single,Less than $40K,34,3,2,3,1853.0108291553674,0,1852.9855485352575,0.8530416589015735,4544,72,0.5383903519672848,-0.0009499660721970389,77890486
77896672,53,F,5,Graduate,Single,$40K - $60K,41,2,1,3,9815.011726659899,1699,8116.013344111711,0.6300956799870452,7962,89,0.5718131858653648,0.1829331020127709,77890487
77907011,63,F,0,High School,Married,Less than $40K,53,5,3,2,2270.990406065872,1278,992.9895101428953,0.3729879290417779,1550,33,0.6663229584013795,0.5344390540464763,77890488
77899573,51,M,1,Unknown,Single,$60K - $80K,22,2,3,3,4248.01219345917,1177,3071.0159177166383,0.828221474228303,13958,116,0.7843399819345411,0.29472187031335895,77890489
77911379,50,F,2,High School,Divorced,Unknown,39,5,2,4,9715.989209161931,874,8841.999479089252,0.764319150038009,5007,91,0.6394811179537089,0.0722115720047562,77890490
77908130,43,F,2,College,Married,Less than $40K,37,3,3,1,5380.000893820609,1337,4043.0048570137565,0.8456538818414732,8947,93,0.577562817934879,0.23303245714849447,77890491
77899003,46,M,4,Unknown,Divorced,$60K - $80K,32,5,3,3,1438.2911777349727,738,700.2946886264451,0.7040957834693671,4368,87,0.7425688086539731,0.5092027396636218,77890492
77899270,52,M,3,Uneducated,Single,$60K - $80K,40,3,1,1,1438.3009506497783,512,926.2794933416405,0.773664704985598,4791,82,0.7133933642981475,0.3707014578909729,77890493
77905535,37,F,3,Graduate,Single,Less than $40K,31,3,3,4,2005.0208919295483,1517,487.98493542497346,0.7148045689605897,2439,61,0.827563841684287,0.763757613083213,77890494
77892547,45,M,3,Graduate,Unknown,$120K +,36,1,4,3,8858.000008482175,1359,7499.007469505075,0.7473703461936939,14223,103,0.7896882274008548,0.16064402923465215,77890495
77908794,56,F,1,Graduate,Married,Unknown,50,2,3,3,5337.979998775214,0,5338.010856022531,0.9360892845968775,4139,69,0.8658361074316936,0.0017917138757652707,77890496
77904286,45,M,4,Graduate,Single,$80K - $120K,36,6,3,1,8062.987054526738,1485,6577.997401596315,0.8741151317436237,4275,77,0.8419883842213332,0.17972038441434396,77890497
77906240,49,F,3,Unknown,Married,Less than $40K,38,6,5,1,2652.0090270342025,1581,1070.983864549861,0.7329270499671215,4747,80,0.7680343014589045,0.5883212348882387,77890498
77903215,48,M,5,Graduate,Married,$80K - $120K,38,6,2,2,34516.00428817409,657,33858.993671346565,0.7287456163602354,3661,71,0.868589811343297,0.011549143103703943,77890499
77906332,48,F,4,Graduate,Married,Less than $40K,36,4,3,2,2619.990962017422,2081,538.9816537655506,1.001324739410183,4867,67,0.7617335427964352,0.8012381496951021,77890500
77894763,56,F,1,Graduate,Unknown,$40K - $60K,36,5,4,1,5203.98100012161,0,5204.005212960521,1.0277025467606116,5285,82,0.8686119784154201,0.0015426765706656545,77890501
77890664,54,M,4,Graduate,Married,$120K +,36,2,3,5,7683.982055178714,0,7684.011397609104,0.6150791023879139,7667,68,0.7727379338056017,0.00028298785484696996,77890502
